,Country,City,lk,cj
0,Austria,Vienna,85,43
1,Belgium,Brussels,235,62
2,Bulgaria,Sofia,47,4
3,Croatia,Zagreb,0,2
4,Czech Republic,Prague,94,25
5,Denmark,Copenhagen,81,36
6,Finland,Helsinki,62,22
7,Finland,Kuopio,0,5
8,Finland,Oulu,0,3
9,France,Marseille,41,2
10,France,Paris,1330,283
11,Germany,Berlin,411,159
12,Germany,Frankfurt,343,54
13,Greece,Athens,0,36
14,Hungary,Budapest,116,24
15,Iceland,Reykjavík,0,0
16,Ireland,Dublin,244,68
17,Italy,Milan,230,121
18,Italy,Rome,76,47
19,Malta,Valletta,0,0
20,Netherlands,Amsterdam,541,140
21,Norway,Bergen,3,5
22,Norway,Oslo,32,29
23,Norway,Tromsø,0,3
24,Poland,Warsaw,175,59
25,Portugal,Lisbon,286,22
26,Romania,Bucharest,102,9
27,Russia,Arkhangelsk,0,0
28,Russia,Moscow,364,148
29,Russia,Murmansk,0,0
30,Russia,Rostov-on-Don,0,0
31,Russia,Sochi,0,0
32,Serbia,Belgrade,0,3
33,Spain,Almeria,0,0
34,Spain,Barcelona,223,48
35,Spain,Seville,9,0
36,Spain,Madrid,107,66
37,Sweden,Stockholm,185,79
38,Switzerland,Zürich,283,62
39,Turkey,Istanbul,19,18
40,Ukraine,Kiev,103,20
41,United Kingdom,Edinburgh,72,30
42,United Kingdom,Lerwick,0,0
43,United Kingdom,London,2175,803
